	amicus	argDate	argMonth	argYear	caseName	cutoffs_ALL	cutoffs_BREYER	cutoffs_GINSBURG	cutoffs_KENNEDY	cutoffs_ROBERTS	cutoffs_SCALIA	decDate	majVotes	minVotes	winner	words_BREYER	words_GINSBURG	words_KENNEDY	words_ROBERTS	words_SCALIA
04-928	1	2005-12-07	12	2005	OREGON v. RANDY LEE GUZEK	10.0	0.3	-0.3333333333333333	-0.7777777777777778	0.38461538461538464	0.4117647058823529	2006-02-22	8	0	1	0.11801242236024845	0.14634146341463414	-0.6164383561643836	0.47767857142857145	0.05263157894736842
04-944	1	2006-01-11	01	2006	JENIFER ARBAUGH v. Y & H CORPORATION, DBA THE MOONLIGHT CAFE	7.0	1.0	0.6	-1.0	-0.6	0.25	2006-02-22	8	0	1	1.0	0.38375350140056025	-1.0	-0.46617915904936014	-0.4506089309878214
04-9728	-1	2006-02-22	02	2006	DONALD CURTIS SAMSON v. CALIFORNIA	-40.0	-0.8	-0.36	0.25	-0.5384615384615384	-0.7058823529411765	2006-06-19	6	3	0	-0.18976545842217485	-0.16791044776119404	0.17424242424242425	-0.19807923169267708	-0.41637831603229525
04-980	0	2005-10-11	10	2005	JILL L. BROWN, WARDEN v. RONALD L. SANDERS	-15.0	0.6	-0.14285714285714285	0.0	0.0	0.0	2006-01-11	5	4	1	0.17598908594815826	0.14836223506743737	-0.05390835579514825	0.023474178403755867	0.6168067226890757
05-1056	1	2007-02-21	02	2007	MICROSOFT CORPORATION v. AT&T CORP.	-3.0	0.1111111111111111	0.5	-0.8571428571428571	0.0	0.0	2007-04-30	7	1	1	0.5292740046838408	-0.45985401459854014	-0.5220417633410673	0.0	-0.8033707865168539
05-1074	-1	2006-11-27	11	2006	LILLY M. LEDBETTER v. THE GOODYEAR TIRE & RUBBER COMPANY, INC.	-5.0	1.0	0.5555555555555556	-0.6	-1.0	-0.6	2007-05-29	5	4	0	0.5974842767295597	0.2424812030075188	-0.5443037974683544	-0.5392857142857143	-0.5614035087719298
05-1120	0	2006-11-29	11	2006	MASSACHUSETTS, et al. v. ENVIRONMENTAL PROTECTION AGENCY et al.	7.0	0.42857142857142855	0.0	-0.5	-0.3333333333333333	-0.17647058823529413	2007-04-02	5	4	1	0.9077809798270894	-0.20418848167539266	-0.49812734082397003	-0.6822916666666666	-0.6011964107676969
05-1126	1	2006-11-27	11	2006	BELL ATLANTIC CORPORATION, et al. V.WILLIAM TWOMBLY, et al.	-5.0	-0.4444444444444444	-1.0	0.0	0.7142857142857143	0.5	2007-05-21	7	2	1	-0.04857363145720894	0.1650943396226415	-0.1774891774891775	0.64	-0.07872696817420435
05-11284	0	2007-01-17	01	2007	JALIL ABDUL-KABIR, FKA TED CALVIN COLE v. NATHANIEL QUARTERMAN, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, CORRECTIONAL INSTITUTIONS DIVISION	-5.0	1.0	0.7777777777777778	0.3333333333333333	-1.0	-1.0	2007-04-25	5	4	1	1.0	0.7613365155131265	0.8714285714285714	-0.36363636363636365	-0.8306878306878307
05-11304	-1	2007-01-17	01	2007	LAROYCE LATHAIR SMITH v. TEXAS	5.0	0.6	1.0	1.0	-1.0	-1.0	2007-04-25	5	4	1	0.3310696095076401	0.4782608695652174	0.0	-0.7946127946127947	-0.3497942386831276
05-1157	1	2007-03-27	03	2007	CREDIT SUISSE SECURITIES (USA) LLC, FKA CREDIT SUISSE FIRST BOSTON LLC, et al. v. GLEN BILLING et al.	-6.0	0.25	-0.7142857142857143	0.0	0.5	0.09090909090909091	2007-06-18	7	1	1	0.2513703993735317	-0.768	0.0	0.560067681895093	0.20918367346938777
05-1240	0	2006-11-06	11	2006	ANDRE WALLACE v. KRISTEN KATO et al.	-16.0	-0.5	0.3333333333333333	-0.09090909090909091	-0.3333333333333333	-0.5	2007-02-20	7	2	0	-0.004748338081671415	0.19732441471571907	0.4006849315068493	-0.2311212814645309	-0.808695652173913
05-1256	0	2006-10-31	10	2006	PHILIP MORRIS USA v. MAYOLA WILLIAMS, PERSONAL REPRESENTATIVE OF THE ESTATE OF JESSE D. WILLIAMS, DECEASED	-4.0	0.0	-0.5	0.0	-0.3333333333333333	0.75	2007-02-20	5	4	1	0.1853448275862069	-0.8568019093078759	-0.28695652173913044	0.5431034482758621	0.058419243986254296
05-1272	0	2006-12-05	12	2006	ROCKWELL INTERNATIONAL CORP., et al. v. UNITED STATES et al.	-6.0	0.0	-1.0	0.0	-0.3333333333333333	-0.6666666666666666	2007-03-27	6	2	1	0.0	-1.0	-1.0	-0.16090225563909774	-0.04142011834319527
05-128	0	2006-03-21	03	2006	HOWARD DELIVERY SERVICE, INC., et al. v. ZURICH AMERICAN INSURANCE CO.	7.0	-0.4	-0.2	0.0	0.6666666666666666	0.42857142857142855	2006-06-15	6	3	1	-0.37662337662337664	0.2572614107883817	-0.4666666666666667	0.4093567251461988	0.2627986348122867
05-1284	1	2007-04-25	04	2007	LISA WATSON, et al. v. PHILIP MORRIS COMPANIES, INC., et al.	-5.0	1.0	1.0	0.0	-1.0	-0.3333333333333333	2007-06-11	9	0	1	1.0	0.5625	0.08641975308641975	-0.5455820476858345	-0.3440702781844802
05-130	-1	2006-03-29	03	2006	EBAY INC., et al. v. MERCEXCHANGE, L. L. C.	6.0	0.75	1.0	-0.5	0.0	-0.6666666666666666	2006-05-15	9	0	1	0.5309090909090909	-0.7685185185185185	-0.874439461883408	0.14878892733564014	-0.46112115732368897
05-1342	-1	2006-11-29	11	2006	LINDA A. WATTERS, COMMISSIONER, MICHIGAN OFFICE OF INSURANCE AND FINANCIAL SERVICES v. WACHOVIA BANK, N. A., et al.	15.0	0.5	-1.0	0.0	0.6666666666666666	-0.25	2007-04-17	5	3	0	-0.40285714285714286	-0.9141323792486583	-0.8523985239852399	0.07364341085271318	-0.18798955613577023
05-1345	-1	2007-01-08	01	2007	UNITED HAULERS ASSOCIATION, INC., et al. v. ONEIDA-HERKIMER SOLID WASTE MANAGEMENT AUTHORITY, et al.	3.0	-1.0	-1.0	0.25	0.5	0.2857142857142857	2007-04-30	6	3	0	-1.0	-0.6972477064220184	0.2286212914485166	0.17080745341614906	0.16236722306525037
05-1429	0	2007-01-16	01	2007	TRAVELERS CASUALTY & SURETY COMPANY OF AMERICA v. PACIFIC GAS AND ELECTRIC COMPANY	6.0	0.45454545454545453	0.2	-0.4	1.0	0.0	2007-03-20	9	0	1	0.3937007874015748	0.09779179810725552	-0.28342245989304815	0.5372233400402414	1.0
05-1448	1	2007-04-24	04	2007	JEFFREY H. BECK, LIQUIDATING TRUSTEE OF THE ESTATES OF CROWN VANTAGE, INC. AND CROWN PAPER COMPANY v. PACE INTERNATIONAL UNION et al.	-3.0	-1.0	0.0	0.0	0.2	0.0	2007-06-11	9	0	1	0.9507908611599297	-0.5181518151815182	-0.4717948717948718	0.39285714285714285	0.7100977198697068
05-1508	-1	2007-01-10	01	2007	ZUNI PUBLIC SCHOOL DISTRICT NO. 89, et al. v. DEPARTMENT OF EDUCATION, et al.	18.0	0.0	-1.0	0.0	0.875	0.0	2007-04-17	5	4	0	-0.5779283639883833	-0.5789473684210527	-1.0	0.6988277727682597	0.1385390428211587
05-1541	0	2007-02-26	02	2007	EC TERM OF YEARS TRUST v. UNITED STATES	0.0	-1.0	-1.0	1.0	1.0	0.6666666666666666	2007-04-30	9	0	0	-0.541958041958042	-1.0	-0.21739130434782608	-0.23976608187134502	0.002257336343115124
05-1575	0	2007-01-09	01	2007	DORA B. SCHRIRO, DIRECTOR, ARIZONA DEPARTMENT OF CORRECTIONS v. JEFFREY TIMOTHY LANDRIGAN, AKA BILLY PATRICK WAYNE HILL	-3.0	-1.0	1.0	-0.2	0.5555555555555556	0.3333333333333333	2007-05-14	5	4	1	-0.125	-0.027777777777777776	-0.42574257425742573	0.5679442508710801	-0.1664779161947905
05-1589	1	2007-01-10	01	2007	GARY DAVENPORT, et al. v. WASHINGTON EDUCATION ASSOCIATION	18.0	-0.25	0.3333333333333333	0.3333333333333333	0.25	0.14285714285714285	2007-06-14	9	0	1	-0.21246458923512748	0.3055555555555556	0.05336426914153132	0.12605042016806722	-0.042735042735042736
05-1629	0	2006-12-05	12	2006	ALBERTO R. GONZALES, ATTORNEY GENERAL v. LUIS ALEXANDER DUENAS-ALVAREZ	2.0	1.0	-0.6	-1.0	0.3333333333333333	0.0	2007-01-17	9	0	1	1.0	-0.52046783625731	-1.0	0.49012567324955114	0.11528822055137844
