	amicus	argDate	argMonth	argYear	caseName	cutoffs_ALL	cutoffs_BREYER	cutoffs_GINSBURG	cutoffs_KENNEDY	cutoffs_ROBERTS	cutoffs_SCALIA	decDate	majVotes	minVotes	winner	words_BREYER	words_GINSBURG	words_KENNEDY	words_ROBERTS	words_SCALIA
07-1059	1	2008-11-04	11	2008	UNITED STATES v. EURODIF S. A. et al.	14.0	-0.25	0.0	0.6	0.3333333333333333	0.6666666666666666	2009-01-26	9	0	1	-0.10357470210815765	-1.0	0.8235294117647058	-0.3418181818181818	0.8591916558018253
07-1090	1	2009-04-20	04	2009	REPUBLIC OF IRAQ v. JORDAN BEATY et al.	21.0	1.0	0.2	1.0	0.0	0.42857142857142855	2009-06-08	9	0	1	1.0	0.015544041450777202	1.0	0.09142857142857143	0.5601659751037344
07-1114	0	2008-12-09	12	2008	GARY BRADFORD CONE v. RICKY BELL, WARDEN	1.0	1.0	-0.5	0.0	-1.0	-0.14285714285714285	2009-04-28	7	2	1	1.0	-0.14566929133858267	-0.009584664536741214	-0.9589216944801027	-0.19850187265917604
07-11191	-1	2010-01-11	01	2010	MARK A. BRISCOE AND SHELDON A. CYPRESS v. VIRGINIA	-5.0	-0.2	-1.0	-1.0	-1.0	0.6	2010-01-25	9	0	1	-0.21092278719397364	-0.36585365853658536	-1.0	-0.6276595744680851	0.7884028484231943
07-1122	1	2008-12-09	12	2008	ARIZONA v. LEMON MONTREA JOHNSON	2.0	1.0	0.0	-0.6	0.6	-0.5555555555555556	2009-01-26	9	0	1	1.0	-0.2631578947368421	-0.164	0.42825361512791993	-0.3864306784660767
07-1125	0	2008-12-02	12	2008	LISA FITZGERALD, et vir v. BARNSTABLE SCHOOL COMMITTEE et al.	-5.0	-0.38461538461538464	-0.06666666666666667	-1.0	0.0	0.0	2009-01-21	9	0	1	0.08495145631067962	0.15718418514946964	-1.0	0.02888086642599278	0.10126582278481013
07-1209	-1	2008-12-08	12	2008	ERIC K. SHINSEKI, SECRETARY OF VETERANS AFFAIRS v. WOODROW F. SANDERS	0.0	0.3333333333333333	0.5	1.0	-0.3333333333333333	0.3333333333333333	2009-04-21	6	3	1	0.2282051282051282	0.1006423982869379	0.2781954887218045	-0.27624309392265195	0.47058823529411764
07-1216	0	2008-12-03	12	2008	PHILIP MORRIS USA INC. v. MAYOLA WILLIAMS, PERSONAL REPRESENTATIVE OF THE ESTATE OF JESSE D. WILLIAMS, DECEASED	11.0	0.4666666666666667	-1.0	1.0	0.6	0.7777777777777778	2009-03-31	9	0	0	-0.09158679446219382	-0.8969804618117229	1.0	0.5186104218362283	0.7851851851851852
07-1223	0	2008-11-12	11	2008	EDWARD NATHANIEL BELL v. LORETTA K. KELLY, WARDEN	6.0	0.3333333333333333	-0.6	1.0	-1.0	0.3333333333333333	2008-11-17	9	0	0	-0.2029090909090909	-0.7215189873417721	1.0	-0.8630705394190872	0.3684210526315789
07-1239	0	2008-10-08	10	2008	DONALD C. WINTER, SECRETARY OF THE NAV., et al. v. NATURAL RESOURCES DEFENSE COUNCIL, INC., et al.	-6.0	0.6666666666666666	-1.0	-1.0	0.6666666666666666	0.0	2008-11-12	5	4	1	0.5197368421052632	-1.0	-0.3186119873817035	0.5310199789695058	-0.24066390041493776
07-1309	0	2009-01-14	01	2009	EDMUND BOYLE v. UNITED STATES	7.0	0.5	-1.0	1.0	1.0	0.6666666666666666	2009-06-08	7	2	0	0.6099585062240664	-0.7725752508361204	-0.07796610169491526	0.4723127035830619	0.212253829321663
07-1315	0	2009-01-13	01	2009	MICHAEL A. KNOWLES, WARDEN v. ALEXANDRE MIRZAYANCE	9.0	0.5	1.0	-0.38461538461538464	0.5555555555555556	0.5	2009-03-24	9	0	1	-0.06349206349206349	-0.11842105263157894	-0.08921438082556592	0.2631578947368421	-0.09500805152979067
07-1356	1	2009-01-21	01	2009	KANSAS v. DONNIE RAY VENTRIS	-7.0	1.0	-0.6	0.0	1.0	-1.0	2009-04-29	7	2	1	1.0	-0.1650485436893204	0.0	0.5379746835443038	-1.0
07-1372	1	2009-02-25	02	2009	HAWAII et al. v. OFFICE OF HAWAIIAN AFFAIRS et al.	12.0	0.14285714285714285	0.25	0.3333333333333333	1.0	0.5	2009-03-31	9	0	1	0.22638146167557932	0.15021459227467812	-0.5843137254901961	0.630114566284779	0.49878934624697335
07-1410	0	2009-02-23	02	2009	UNITED STATES v. NAVAJO NATION	5.0	1.0	0.2	-1.0	-0.3333333333333333	0.6666666666666666	2009-04-06	9	0	1	1.0	0.6061776061776062	-0.5857142857142857	0.038869257950530034	0.7021276595744681
07-1428	1	2009-04-22	04	2009	FRANK RICCI, et al. v. JOHN DESTEFANO et al.	-41.0	-1.0	-1.0	-0.8	0.36363636363636365	-0.3	2009-06-29	5	4	1	-0.7166494312306101	-0.7053682896379525	-0.2540381791483113	0.4706994328922495	-0.4969818913480885
07-1437	0	2009-02-24	02	2009	CARLSBAD TECHNOLOGY, INC. v. HIF BIO, INC., et al.	0.0	0.0	0.75	0.0	-0.5	-1.0	2009-05-04	9	0	1	0.0	-0.013836477987421384	0.0	-0.42731277533039647	-1.0
07-1529	0	2009-01-13	01	2009	JESSE JAY MONTEJO v. LOUISIANA	-1.0	1.0	-0.2	-1.0	-0.8	-0.5555555555555556	2009-05-26	5	4	0	1.0	0.514367816091954	0.2760511882998172	-0.6004813477737665	-0.5663600525624178
07-1601	1	2009-02-24	02	2009	BURLINGTON NORTHERN AND SANTA FE RAILWAY COMPANY, et al. v. UNITED STATES et al.	20.0	0.7777777777777778	-1.0	-1.0	0.0	0.7777777777777778	2009-05-04	8	1	1	0.7328339575530587	-0.6439499304589708	-0.5805739514348786	-0.25168236877523553	0.6720257234726688
07-208	1	2008-03-26	03	2008	INDIANA v. EDWARDS	22.0	1.0	1.0	0.2	0.75	-0.16666666666666666	2008-06-19	7	2	1	1.0	0.5	0.12386706948640483	0.31673582295988933	-0.5223628691983122
07-21	-1	2008-01-09	01	2008	WILLIAM CRAWFORD, et al., Petitioners v. MARION COUNTY ELECTION BOARD et al.	-3.0	-0.6	1.0	-0.2	-0.6363636363636364	-0.42857142857142855	2008-04-28	6	3	0	0.30851063829787234	0.6361529548088065	-0.3273809523809524	-0.4654255319148936	-0.19907407407407407
07-210	0	2008-04-14	04	2008	JOHN BRIDGE, et al. v. PHOENIX BOND & INDEMNITY CO. ET AL	-4.0	0.0	-1.0	-1.0	1.0	1.0	2008-06-09	9	0	0	1.0	-1.0	-1.0	-0.1875	0.13675213675213677
07-214	-1	2008-02-26	02	2008	ALLISON ENGINE COMPANY, INC., et al. v. UNITED STATES ex rel. ROGER L. SANDERS AND ROGER L. THACKER	-2.0	0.42857142857142855	-0.5	-0.3333333333333333	1.0	0.1	2008-06-09	9	0	1	-0.06612685560053981	-0.36127744510978044	-0.7343173431734318	0.8461538461538461	0.24305555555555555
07-219	0	2008-02-27	02	2008	EXXON SHIPPING CO. v. BAKER	-9.0	0.25	-0.8571428571428571	-0.125	0.5294117647058824	0.2727272727272727	2008-06-26	5	3	1	0.25676784249384743	-0.6231884057971014	-0.08034610630407911	0.4045954045954046	0.6378600823045267
07-290	-1	2008-03-18	03	2008	DISTRICT OF COLUMBIA v. HELLER	13.0	0.5	0.25	-0.2222222222222222	0.0	-0.06666666666666667	2008-06-26	5	4	0	0.7378048780487805	0.6702127659574468	-0.20123839009287925	-0.07741935483870968	0.018682399213372666
07-308	0	2008-03-24	03	2008	UNITED STATES v. CLINTWOOD ELKHORN MINING COMPANY ET AL	15.0	0.6	0.75	1.0	0.5	-0.5555555555555556	2008-04-15	9	0	1	0.2640163098878695	0.6345514950166113	0.6838709677419355	0.4067796610169492	-0.11836734693877551
07-312	0	2008-03-26	03	2008	FLA. DEP'T OF REVENUE v. PICCADILLY CAFETERIAS, INC.	-15.0	-1.0	0.0	-1.0	0.07692307692307693	-0.06666666666666667	2008-06-16	7	2	1	-0.9163701067615658	0.4264705882352941	-1.0	-0.09852216748768473	0.09090909090909091
07-320	0	2008-04-22	04	2008	DAVIS v. FEC	-9.0	0.0	-0.75	-0.3333333333333333	0.1111111111111111	-0.05263157894736842	2008-06-26	5	4	1	1.0	-0.5692883895131086	-0.15179968701095461	0.3298647242455775	0.09475806451612903
07-330	1	2008-04-15	04	2008	GREENLAW v. UNITED STATES	-22.0	0.3333333333333333	1.0	-1.0	-0.25	-0.2857142857142857	2008-06-23	6	3	1	0.36981757877280264	0.07874015748031496	-0.6201117318435754	-0.4262626262626263	0.1848617176128093
07-343	-1	2008-04-16	04	2008	KENNEDY v. LOUISIANA	-18.0	1.0	-0.6666666666666666	-0.6	-0.75	-0.6842105263157895	2008-06-25	5	4	1	1.0	-0.7911646586345381	0.17318435754189945	-0.8541266794625719	-0.41271676300578036
07-371	-1	2008-04-16	04	2008	TAYLOR v. STURGELL	0.0	1.0	0.6363636363636364	-1.0	-0.5384615384615384	0.05263157894736842	2008-06-12	9	0	1	0.0	0.37937743190661477	-1.0	-0.7236533957845434	0.13324360699865412
07-411	-1	2008-04-14	04	2008	PLAINS COMMERCE BANK v. LONG FAMILY LAND & CATTLE CO.	14.0	0.0	0.0	0.6666666666666666	1.0	-0.1	2008-06-25	5	4	1	0.0	-0.3983739837398374	0.0	0.629742033383915	-0.09072978303747535
07-440	0	2008-03-17	03	2008	ROTHGERY v. GILLESPIE COUNTY	-2.0	0.1111111111111111	0.0	0.0	-1.0	-0.6666666666666666	2008-06-23	8	1	1	0.3389830508474576	0.45129224652087474	-0.023809523809523808	-0.6447761194029851	-0.5154061624649859
07-455	0	2008-03-25	03	2008	UNITED STATES v. AHMED RESSAM	4.0	0.2	0.0	1.0	-0.6	0.5	2008-05-19	8	1	1	0.03543307086614173	-0.7029702970297029	0.16164383561643836	-0.7221324717285945	-0.19825708061002179
07-463	0	2008-10-08	10	2008	PRISCILLA SUMMERS et al. v. EARTH ISLAND INSTITUTE et al.	-14.0	-0.6	-0.6	-1.0	1.0	0.25	2009-03-03	5	4	1	-0.023255813953488372	-0.45454545454545453	-1.0	0.7780487804878049	0.47510094212651416
07-474	-1	2008-04-21	04	2008	ANUP ENGQUIST v. OREGON DEPARTMENT OF AGRICULTURE, ET AL	-10.0	-0.6	-0.4	0.23076923076923078	0.0	-0.23076923076923078	2008-06-09	6	3	0	-0.43636363636363634	-0.48097826086956524	0.38271604938271603	-0.02029769959404601	-0.10270270270270271
07-499	0	2008-11-05	11	2008	DANIEL GIRMAI NEGUSIE v. ERIC H. HOLDER, JR., ATTORNEY GENERAL	-2.0	1.0	0.0	-0.2	0.4	-0.7	2009-03-03	8	1	1	0.7174887892376681	0.07777777777777778	-0.36099585062240663	0.5871369294605809	-0.5933609958506224
07-512	0	2008-12-08	12	2008	PACIFIC BELL TELEPHONE COMPANY, DBA AT&T CALIFORNIA et al. v. LINKLINE COMMUNICATIONS, INC., et al.	15.0	0.42857142857142855	-1.0	1.0	0.75	1.0	2009-02-25	9	0	1	-0.2628458498023715	0.04854368932038835	0.8888888888888888	0.47017543859649125	1.0
07-513	0	2008-10-07	10	2008	BENNIE DEAN HERRING v. UNITED STATES	-13.0	-0.1111111111111111	0.3333333333333333	-0.5555555555555556	-1.0	-0.8181818181818182	2009-01-14	5	4	0	0.1259124087591241	0.46184738955823296	-0.14814814814814814	-0.691764705882353	-0.5848032564450475
07-526	0	2008-11-03	11	2008	DONALD L. CARCIERI, GOVERNOR OF RHODE ISLAND, et al. v. KEN L. SALAZAR, SECRETARY OF THE INTERIOR, et al.	7.0	0.3333333333333333	-1.0	0.14285714285714285	0.25	0.6	2009-02-24	6	3	1	0.6663886572143453	-0.3620689655172414	0.05362776025236593	0.3946078431372549	0.4539363484087102
07-542	1	2008-10-07	10	2008	ARIZONA v. RODNEY JOSEPH GANT	-26.0	-1.0	-1.0	-0.5	1.0	-0.7777777777777778	2009-04-21	5	4	0	0.1846590909090909	-0.7953795379537953	-0.38461538461538464	0.5456475583864119	-0.7634961439588689
07-543	1	2008-12-10	12	2008	AT&T CORPORATION v. NOREEN HULTEEN et al.	18.0	0.0	-0.42857142857142855	1.0	0.0	1.0	2009-05-18	7	2	1	-0.30077120822622105	-0.7169117647058824	0.8726114649681529	0.21904761904761905	1.0
07-5439	-1	2008-01-07	01	2008	RALPH BAZE AND THOMAS C. BOWLING v. JOHN D. REES, COMMISSIONER, KENTUCKY DEPARTMENT OF CORRECTIONS, ET AL	1.0	0.0	1.0	0.3333333333333333	-0.6	-0.4666666666666667	2008-04-16	7	2	0	-0.43388429752066116	0.10854503464203233	-0.3727810650887574	-0.7283464566929134	-0.5649546827794562
07-544	1	2008-10-15	10	2008	ANTHONY HEDGPETH, WARDEN v. MICHAEL ROBERT PULIDO	-19.0	1.0	-1.0	0.0	1.0	-1.0	2008-12-02	6	3	1	0.8086124401913876	-1.0	-1.0	-0.22310756972111553	-1.0
07-552	0	2008-04-21	04	2008	SPRINT COMMUNS. CO., L.P. v. APCC SERVS.	3.0	-0.3333333333333333	-0.5	0.25	1.0	0.3333333333333333	2008-06-23	5	4	0	0.2601626016260163	-0.5285714285714286	0.4645308924485126	0.7	0.3425499231950845
07-562	-1	2008-10-06	10	2008	ALTRIA GROUP, INC., et al. v. STEPHANIE GOOD et al.	18.0	-0.5	0.0	0.3333333333333333	0.7777777777777778	0.7142857142857143	2008-12-15	5	4	0	-0.21212121212121213	-0.36	0.31958762886597936	0.5569620253164557	0.8843537414965986
07-581	-1	2008-12-01	12	2008	14 PENN PLAZA LLC et al. v. STEVEN PYETT et al.	15.0	0.7142857142857143	-0.5	-0.2	1.0	0.5	2009-04-01	5	4	1	0.1726027397260274	-0.45592705167173253	-0.21951219512195122	0.8541374474053296	-0.08121827411167512
07-582	0	2008-11-04	11	2008	FEDERAL COMMUNICATIONS COMMISSION, et al. v. FOX TELEVISION STATIONS, INC., et al.	8.0	-0.75	-0.6666666666666666	0.0	0.6	0.29411764705882354	2009-04-28	5	4	1	-0.5276752767527675	-0.7295238095238096	-0.38095238095238093	0.4298978644382544	0.425531914893617
07-588	1	2008-12-02	12	2008	ENTERGY CORPORATION v. RIVERKEEPER, INC., et al.	10.0	0.06666666666666667	-1.0	-1.0	1.0	0.23076923076923078	2009-04-01	5	4	1	0.2701589170100059	-1.0	-1.0	0.18536585365853658	0.17744610281923714
07-591	-1	2008-11-10	11	2008	LUIS E. MELENDEZ-DIAZ v. MASSACHUSETTS	12.0	-0.3333333333333333	-1.0	0.4	-0.6666666666666666	0.2857142857142857	2009-06-25	5	4	1	-0.21739130434782608	-0.0456140350877193	-0.0728363324764353	-0.18488529014844804	0.0889487870619946
07-6053	0	2008-04-22	04	2008	GILES v. CALIFORNIA	-7.0	-1.0	-0.7142857142857143	0.5	-0.5	0.0	2008-06-25	6	3	1	0.09668874172185431	-0.4592833876221498	-0.4117647058823529	-0.3548387096774194	0.36044880785413747
07-608	0	2008-11-10	11	2008	UNITED STATES v. RANDY EDWARD HAYES	-9.0	1.0	0.0	-1.0	-0.7777777777777778	-0.30434782608695654	2009-02-24	7	2	1	0.7944199706314243	0.4645161290322581	-0.5864406779661017	-0.703125	-0.2609575185434929
07-610	0	2008-10-06	10	2008	DANIEL B. LOCKE, et al. v. EDWARD A. KARASS, STATE CONTROLLER, et al.	2.0	-0.2	-0.5	-0.2	1.0	-0.3333333333333333	2009-01-21	9	0	0	-0.5061728395061729	-0.36555891238670696	-0.5261845386533666	0.313915857605178	-0.1988472622478386
07-615	-1	2009-01-12	01	2009	MINISTRY OF DEFENSE AND SUPPORT FOR THE ARMED FORCES OF THE ISLAMIC REPUBLIC OF IRAN v. DARIUSH ELAHI	6.0	-0.1	0.6	0.3333333333333333	0.7777777777777778	0.0	2009-04-21	6	3	1	0.408327246165084	-0.07368421052631578	0.41263940520446096	0.5596755504055619	0.0
07-636	-1	2008-10-07	10	2008	KARI E. KENNEDY, EXECUTRIX OF THE ESTATE OF WILLIAM PATRICK KENNEDY, DECEASED v. PLAN ADMINISTRATOR FOR DUPONT SAVINGS AND INVESTMENT PLAN et al.	12.0	1.0	1.0	0.0	-0.25	0.5555555555555556	2009-01-26	9	0	0	0.934322033898305	0.18110236220472442	-0.7012448132780082	-0.29894179894179895	0.6402234636871509
07-665	1	2008-11-12	11	2008	PLEASANT GROVE CITY, UTAH et al. v. SUMMUM	9.0	0.2727272727272727	0.0	-0.5555555555555556	1.0	0.45454545454545453	2009-02-25	9	0	1	0.7062937062937062	0.014749262536873156	-0.4092526690391459	0.2164009111617312	0.5768261964735516
07-689	-1	2008-10-14	10	2008	GARY BARTLETT, EXECUTIVE DIRECTOR OF THE NORTH CAROLINA STATE BOARD OF ELECTIONS et al. v. DWIGHT STRICKLAND et al.	-1.0	0.7777777777777778	-1.0	-1.0	-1.0	-0.3333333333333333	2009-03-09	5	4	0	0.8729508196721312	-0.10874200426439233	-0.8126721763085399	-0.5522388059701493	-0.8087649402390438
07-6984	0	2008-11-04	11	2008	CARLOS JIMENEZ v. NATHANIEL QUARTERMAN, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, CORRECTIONAL INSTITUTIONS DIVISION	13.0	-0.3333333333333333	-1.0	0.0	0.7777777777777778	0.6666666666666666	2009-01-13	9	0	1	0.37549407114624506	0.057057057057057055	-0.3076923076923077	-0.13090909090909092	0.41496598639455784
07-751	1	2008-10-14	10	2008	CORDELL PEARSON, et al. v. AFTON CALLAHAN	0.0	-0.6	-0.5	1.0	0.6363636363636364	0.0	2009-01-21	9	0	1	-0.2781316348195329	-0.46258503401360546	0.4152046783625731	0.5021910604732691	0.0
07-77	-1	2008-03-24	03	2008	BOB RILEY, GOVERNOR OF ALABAMA v. YVONNE KENNEDY ET AL	0.0	-0.8	1.0	-0.2	0.5	0.3333333333333333	2008-05-27	7	2	1	-0.14841849148418493	0.1650853889943074	-0.33064516129032256	0.3342541436464088	0.30718954248366015
07-772	0	2008-10-15	10	2008	DOUG WADDINGTON, SUPERINTENDENT, WASHINGTON CORRECTIONS CENTER v. CESAR SARAUSAD	-8.0	0.7777777777777778	-1.0	-0.5	1.0	-1.0	2009-01-21	6	3	1	0.5268817204301075	-1.0	0.055900621118012424	0.611731843575419	-1.0
07-773	0	2008-10-06	10	2008	BETTY E. VADEN v. DISCOVER BANK et al.	3.0	0.3333333333333333	0.5	0.0	-0.42857142857142855	0.6	2009-03-09	5	4	1	0.5506493506493506	0.5413043478260869	-0.09803921568627451	-0.3020457280385078	0.38022813688212925
07-8521	0	2009-01-12	01	2009	EDWARD JEROME HARBISON v. RICKY BELL, WARDEN	-13.0	1.0	-1.0	-1.0	-0.4	-0.42857142857142855	2009-04-01	7	2	1	1.0	-0.34545454545454546	-0.2549019607843137	-0.33213644524236985	-0.4227330779054917
07-854	1	2008-11-05	11	2008	JOHN VAN DE KAMP, et al. v. THOMAS LEE GOLDSTEIN	10.0	-0.3333333333333333	1.0	-1.0	0.3333333333333333	1.0	2009-01-26	9	0	1	0.20980091883614088	1.0	-1.0	0.5650887573964497	1.0
07-869	0	2008-11-03	11	2008	BEN YSURSA, IDAHO SECRETARY OF STATE, et al. v. POCATELLO EDUCATION ASSOCIATION et al.	6.0	0.6	0.2	0.2	-0.5	-1.0	2009-02-24	6	3	1	0.26774595267745954	-0.22112211221122113	-0.04884318766066838	-0.35394126738794435	-0.09125475285171103
07-901	0	2008-10-14	10	2008	OREGON v. THOMAS EUGENE ICE	6.0	0.4	1.0	0.3333333333333333	1.0	-1.0	2009-01-14	5	4	1	0.3349282296650718	1.0	-0.3258426966292135	0.7703081232492998	-0.40971357409713577
07-9712	0	2009-01-14	01	2009	JAMES BENJAMIN PUCKETT v. UNITED STATES	-8.0	1.0	-1.0	-1.0	0.42857142857142855	-0.7142857142857143	2009-03-25	7	2	0	1.0	-0.5576662143826323	-0.46422018348623856	0.2662337662337662	-1.0
07-984	1	2009-01-12	01	2009	COEUR ALASKA, INC. v. SOUTHEAST ALASKA CONSERVATION COUNCIL et al.	22.0	0.38461538461538464	-1.0	0.2	0.8181818181818182	0.75	2009-06-22	6	3	1	0.25657298277425206	-0.8102981029810298	-0.03910614525139665	0.6352201257861635	0.5967413441955194
07-9995	-1	2009-02-23	02	2009	MICHAEL RIVERA v. ILLINOIS	-3.0	0.8	-0.6666666666666666	-0.2727272727272727	0.2	0.6	2009-03-31	9	0	0	0.565772669220945	-0.47388059701492535	-0.18731117824773413	0.10476190476190476	0.43333333333333335
08-1008	0	2009-11-02	11	2009	SHADY GROVE ORTHOPEDIC ASSOCIATES, P. A. v. ALLSTATE INSURANCE COMPANY	-2.0	1.0	-0.6470588235294118	0.0	0.42857142857142855	-1.0	2010-03-31	5	4	1	1.0	-0.46601941747572817	0.0	0.48148148148148145	-0.41935483870967744
08-103	1	2009-10-07	10	2009	REED ELSEVIER, INC., et al., v. IRVIN MUCHNICK et al.	-10.0	1.0	-0.7777777777777778	-1.0	-1.0	-0.6363636363636364	2010-03-02	8	0	1	1.0	-0.061611374407582936	-1.0	-0.5289079229122056	-0.9255813953488372
08-1065	1	2009-11-04	11	2009	POTTAWATTAMIE COUNTY, IOWA, et al., PETITIONERS v. CURTIS W. MCGHEE, JR., et al.	2.0	0.3333333333333333	-1.0	-0.1111111111111111	1.0	0.0	2010-01-04	9	0	0	0.16149068322981366	-1.0	-0.13861386138613863	0.7604617604617605	0.15
08-108	0	2009-02-25	02	2009	IGNACIO CARLOS FLORES-FIGUEROA v. UNITED STATES	0.0	0.25	-0.5	-1.0	0.3333333333333333	0.0	2009-05-04	9	0	1	0.7488372093023256	-0.10087173100871731	-1.0	-0.15568862275449102	-0.29608938547486036
08-1107	0	2009-11-10	11	2009	THE HERTZ CORPORATION v. MELINDA FRIEND et al.	-7.0	0.0	-0.3333333333333333	-1.0	0.0	0.2	2010-02-23	9	0	1	0.0	-0.023809523809523808	-1.0	0.32222222222222224	0.44502617801047123
08-1119	0	2009-12-01	12	2009	MILAVETZ, GALLOP & MILAVETZ, P. A., et al. v. UNITED STATES	-4.0	0.2	0.0	-1.0	1.0	-0.5	2010-03-08	9	0	1	0.11940298507462686	0.08214285714285714	-1.0	0.6613756613756614	-0.5867158671586716
08-1134	1	2009-12-01	12	2009	UNITED STUDENT AID FUNDS, INC. v. FRANCISCO J. ESPINOSA	5.0	-0.25	0.45454545454545453	0.3333333333333333	-1.0	0.3333333333333333	2010-03-23	9	0	0	-0.21815286624203822	0.1554467564259486	0.4281767955801105	-0.9039039039039038	0.4462081128747795
08-1175	1	2009-12-07	12	2009	FLORIDA v. KEVIN DEWAYNE POWELL	-2.0	-1.0	0.5	0.6	0.2727272727272727	0.3333333333333333	2010-02-23	7	2	1	-0.6595174262734584	0.07616707616707617	0.5093333333333333	0.46987951807228917	0.22580645161290322
08-1191	-1	2010-03-29	03	2010	ROBERT MORRISON, et al. v. NATIONAL AUSTRALIA BANK LTD. et al.	0.0	1.0	-0.3333333333333333	1.0	0.3333333333333333	-0.6666666666666666	2010-06-24	8	0	0	0.1796875	-0.543035993740219	0.5064935064935064	0.5038759689922481	-0.16
08-1198	0	2009-12-09	12	2009	STOLT-NIELSEN S. A., et al. v. ANIMALFEEDS INTERNATIONAL CORP.	-3.0	-0.6666666666666666	-0.42857142857142855	-1.0	1.0	0.4444444444444444	2010-04-27	5	3	1	0.021153846153846155	-0.3919694072657744	-1.0	0.922283901665345	0.36592592592592593
08-1200	1	2010-01-13	01	2010	KAREN L. JERMAN v. CARLISLE, MCNELLIE, RINI, KRAMER & ULRICH LPA, et al.	7.0	-0.6666666666666666	1.0	0.0	-0.8	0.75	2010-04-21	7	2	1	-0.14690529455630127	0.3008849557522124	-1.0	-0.47310647639956094	0.6832971800433839
08-1214	-1	2010-01-19	01	2010	GRANITE ROCK COMPANY v. INTERNATIONAL BROTHERHOOD OF TEAMSTERS et al.	1.0	-0.75	-0.2	0.0	0.3333333333333333	-1.0	2010-06-24	7	2	1	-0.6521739130434783	0.4123456790123457	-0.3053016453382084	0.4642082429501085	0.15789473684210525
08-1224	0	2010-01-12	01	2010	UNITED STATES v. GRAYDON EARL COMSTOCK, JR., et al.	16.0	1.0	0.3333333333333333	0.0	0.0	-0.3333333333333333	2010-05-17	7	2	1	1.0	0.2559852670349908	-0.3584905660377358	-0.41644562334217505	-0.2311495673671199
08-1301	0	2010-02-24	02	2010	THOMAS CARR v. UNITED STATES	8.0	0.3333333333333333	0.5	0.0	1.0	-0.2	2010-06-01	6	3	1	0.22745098039215686	0.14545454545454545	-1.0	0.3567567567567568	0.015384615384615385
08-1314	1	2010-11-03	11	2010	DELBERT WILLIAMSON, et al., PETITIONERS v. MAZDA MOTOR OF AMERICA, INC., et al.	12.0	1.0	0.5	-1.0	-0.6666666666666666	0.1111111111111111	2011-02-23	8	0	1	1.0	0.3948339483394834	-1.0	-0.848531684698609	-0.41754385964912283
08-1322	0	2010-02-22	02	2010	MICHAEL J. ASTRUE, COMMISSIONER OF SOCIAL SECURITY v. CATHERINE G. RATLIFF	-10.0	0.7142857142857143	-0.7142857142857143	0.3333333333333333	-1.0	1.0	2010-06-14	9	0	1	0.5235792019347038	-0.1564625850340136	0.28350515463917525	-0.7816764132553606	0.46236559139784944
08-1332	1	2010-04-19	04	2010	CITY OF ONTARIO, CALIFORNIA, et al. v. JEFF QUON et al.	13.0	1.0	0.42857142857142855	-0.6	-0.16666666666666666	0.375	2010-06-17	9	0	1	1.0	0.24819277108433735	-0.47555555555555556	-0.2318840579710145	0.3025
08-1341	0	2010-02-24	02	2010	UNITED STATES v. GLENN MARCUS	17.0	1.0	1.0	0.0	0.0	0.5384615384615384	2010-05-24	7	1	1	1.0	0.4461538461538462	0.05362776025236593	-0.4838709677419355	0.7486631016042781
08-1371	0	2010-04-19	04	2010	CHRISTIAN LEGAL SOCIETY CHAPTER OF THE UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW, AKA HASTINGS CHRISTIAN FELLOWSHIP v. LEO P. MARTINEZ et al.	26.0	-0.12	-0.2	1.0	1.0	0.18181818181818182	2010-06-28	5	4	0	-0.09601873536299765	-0.5140562248995983	-0.3254237288135593	0.8569500674763832	-0.07923497267759563
08-1394	0	2010-03-01	03	2010	JEFFREY K. SKILLING v. UNITED STATES	3.0	0.16666666666666666	-0.75	1.0	0.0	0.75	2010-06-24	9	0	1	0.29509713228492135	-0.6594427244582043	1.0	0.06349206349206349	0.8670886075949367
08-1402	0	2010-01-20	01	2010	MARY BERGHUIS, WARDEN v. DIAPOLIS SMITH	2.0	0.1111111111111111	0.38461538461538464	-1.0	0.5	0.5	2010-03-30	9	0	1	0.267349260523322	0.4143484626647145	-0.8440366972477065	0.2825112107623318	0.4800637958532695
08-1423	-1	2010-11-08	11	2010	COSTCO WHOLESALE CORPORATION, PETITIONER  v. OMEGA, S.A.	-2.0	-0.2	0.0	0.0	1.0	-0.3333333333333333	2010-12-13	4	4	0	-0.05245346869712352	-0.5483870967741935	0.7593984962406015	0.48743718592964824	-0.192090395480226
08-1438	1	2010-11-02	11	2010	HARVEY LEROY SOSSAMON, III, PETITIONER v. TEXAS et al.	-3.0	1.0	-1.0	-0.3333333333333333	0.0	-1.0	2011-04-20	6	2	0	0.7566137566137566	-0.6830357142857143	0.03836317135549872	-0.793939393939394	-1.0
08-1448	0	2010-11-02	11	2010	EDMUND G. BROWN, JR., GOVERNOR OF CALIFORNIA, et al., PETITIONERS v. ENTERTAINMENT MERCHANTS ASSOCIATION, et al.	-3.0	0.8461538461538461	-1.0	0.14285714285714285	0.6	-0.625	2011-06-27	7	2	0	0.6217616580310881	-0.3822784810126582	-0.5160349854227405	0.8054862842892768	-0.47980997624703087
